Name,Users Rating,Type,Address,Zip Code,# Inspections,Last Inspection,Score
#1 FOOD STORE,"Average ""#1 FOOD STORE"" Rating: n/a",Grocery Store -- Retail,5356 Wedgmont Cir N,76133,2,09/28/2015,96.0
1ST PRESBYTERIAN CHURCH KITCHEN,"Average ""1ST PRESBYTERIAN CHURCH KITCHEN"" Rating: n/a",Restaurant,1000 Penn St,76102,2,09/24/2015,87.0
2500 CLUB,"Average ""2500 CLUB"" Rating: n/a",Lounge,2500 E Belknap St,76111,2,09/29/2015,94.0
3 AMIGAS DONUTS,"Average ""3 AMIGAS DONUTS"" Rating: n/a",Bakery -- Retail,3710 Decatur Ave,76106,3,01/26/2016,91.0
3 HERMANOS,"Average ""3 HERMANOS"" Rating: n/a",Grocery Store -- Retail,3701 Decatur Ave,76106,2,06/05/2015,88.0
3 PARROTS TACO SHOP,"Average ""3 Parrots Taco Shop"" Rating: n/a",Restaurant,6650 N Beach St,76137,5,10/14/2015,87.0
3 PLUS,"Average ""3 PLUS"" Rating: n/a",Grocery Store -- Retail,5948 River Oaks Blvd,76114,2,09/30/2015,96.0
3 STAR FOOD STORE,"Average ""3 STAR FOOD STORE"" Rating: n/a",Grocery Store -- Retail,1137 E Hattie St,76104,2,07/22/2015,93.0
360 CATERING AND EVENTS,"Average ""360 CATERING AND EVENTS"" Rating: n/a",Restaurant,7455 S Hulen St,76133,1,07/30/2015,100.0
3D FOOD MART,"Average ""3D FOOD MART"" Rating: n/a",Grocery Store -- Retail,1300 E Long Ave,76106,1,11/23/2015,100.0
515 BAR,"Average ""515 BAR"" Rating: n/a",Lounge,515 S Jennings Ave,76104,2,09/24/2015,90.0
54TH STREET REST AND DRAFTHOUSE,"Average ""54TH STREET REST AND DRAFTHOUSE"" Rating: n/a",Restaurant,9251 Rain Lily Trl,76248,2,01/20/2016,100.0
6TH STREET SUNDRY MART,"Average ""6TH STREET SUNDRY MART"" Rating: n/a",Grocery Store -- Retail,200 W 6th St,76102,2,06/20/2015,95.0
7 AM MARKET,"Average ""7 AM MARKET"" Rating: n/a",Snack Bar,1501 N Main St,76164,4,05/29/2015,94.0
7 DAYS FOOD MART,"Average ""7 DAYS FOOD MART"" Rating: n/a",Grocery Store -- Retail,6733 Bridge St,76112,2,01/12/2016,96.0
7 ELEVEN,"Average ""7 ELEVEN"" Rating: n/a",Snack Bar,6001 Camp Bowie Blvd,76116,3,10/26/2015,79.0
7 ELEVEN #34930,"Average ""7 ELEVEN #34930"" Rating: n/a",Grocery Store -- Retail,4501 Parkview Hills Ln,76179,2,04/22/2015,97.0
7 ELEVEN #35619A,"Average ""7 ELEVEN #35619A"" Rating: n/a",Snack Bar,8533 S Hulen St,76123,3,11/20/2015,85.0
7 ELEVEN #35993A,"Average ""7 ELEVEN #35993A"" Rating: n/a",Grocery Store -- Retail,140 Mcpherson Blvd,76140,2,07/28/2015,94.0
7 ELEVEN #36885,"Average ""7 ELEVEN #36885"" Rating: n/a",Grocery Store -- Retail,6501 Mccart Ave,76133,4,12/21/2015,94.0
7 ELEVEN 36323H,"Average ""7 ELEVEN 36323H"" Rating: n/a",Grocery Store -- Retail,9401 White Settlement Rd,76108,7,02/03/2016,94.0
7-11 #36499A,"Average ""7-11 #36499A"" Rating: n/a",Grocery Store -- Retail,5700 Boat Club Rd,76179,5,10/26/2015,80.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,3300 Vaughn Blvd,76119,5,12/28/2015,85.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Snack Bar,5700 Sam Calloway Rd,76114,2,03/23/2015,94.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Snack Bar,2945 W Berry St,76109,4,07/23/2015,84.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Snack Bar,9100 Camp Bowie West Blvd,76116,4,09/04/2015,96.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Snack Bar,14200 Trinity Blvd,76155,4,09/10/2015,72.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Snack Bar,801 W Belknap St,76102,6,11/09/2015,94.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,3601 West Freeway,76107,6,09/05/2015,92.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,6100 S Hulen St,76133,5,08/14/2015,89.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,14205 Trinity Blvd,76155,4,12/18/2015,91.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,7401 N Beach St,76137,2,04/23/2015,100.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,1401 W 7th St,76102,4,09/15/2015,100.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,3505 Heritage Trace Pkwy,76248,4,04/20/2015,91.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,2441 Heritage Trace Pkwy,76177,7,11/14/2015,91.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,1050 Missouri Ave,76104,6,12/18/2015,91.0
7-ELEVEN,"Average ""7-ELEVEN"" Rating: n/a",Grocery Store -- Retail,4401 Golden Triangle Blvd,76244,4,12/28/2015,93.0
7-ELEVEN # 34143,"Average ""7-ELEVEN # 34143"" Rating: n/a",Snack Bar,3429 N Tarrant Pkwy,76177,8,01/06/2016,89.0
7-ELEVEN #12475A,"Average ""7-ELEVEN #12475A"" Rating: n/a",Snack Bar,2536 E Lancaster Ave,76103,4,03/22/2015,80.0
7-ELEVEN #12529A,"Average ""7-ELEVEN #12529A"" Rating: n/a",Snack Bar,4301 Camp Bowie Blvd,76107,4,11/17/2015,97.0
7-ELEVEN #18746K,"Average ""7-ELEVEN #18746K"" Rating: n/a",Snack Bar,1622 Hemphill St,76104,4,09/27/2015,94.0
7-ELEVEN #23858,"Average ""7-ELEVEN #23858"" Rating: n/a",Snack Bar,2800 Ne 28th St,76111,5,01/27/2016,94.0
7-ELEVEN #24382H,"Average ""7-ELEVEN #24382H"" Rating: n/a",Snack Bar,8521 Camp Bowie West Blvd,76116,4,06/16/2015,93.0
7-ELEVEN #24638,"Average ""7-ELEVEN #24638"" Rating: n/a",Snack Bar,6251 Mccart Ave,76133,4,09/23/2015,89.0
7-ELEVEN #25762,"Average ""7-ELEVEN #25762"" Rating: n/a",Snack Bar,4500 Sycamore School Rd,76133,2,09/28/2015,100.0
7-ELEVEN #27575,"Average ""7-ELEVEN #27575"" Rating: n/a",Snack Bar,3300 Western Center Blvd,76137,4,01/31/2016,89.0
7-ELEVEN #29347,"Average ""7-ELEVEN #29347"" Rating: n/a",Snack Bar,100 Ne 28th St,76164,5,12/19/2015,78.0
7-ELEVEN #33964,"Average ""7-ELEVEN #33964"" Rating: n/a",Grocery Store -- Retail,8421 Boat Club Rd,76179,4,04/21/2015,100.0
7-ELEVEN #34034,"Average ""7-ELEVEN #34034"" Rating: n/a",Snack Bar,3300 W 7th St,76107,5,11/17/2015,100.0
7-ELEVEN #34090H,"Average ""7-ELEVEN #34090H"" Rating: n/a",Grocery Store -- Retail,8541 West Fwy,76116,8,01/07/2016,75.0
7-ELEVEN #34092H,"Average ""7-ELEVEN #34092H"" Rating: n/a",Snack Bar,7490 Oakmont Blvd,76132,5,11/10/2015,78.0
7-ELEVEN #34093,"Average ""7-ELEVEN #34093"" Rating: n/a",Grocery Store -- Retail,4600 Sw Loop 820,76109,5,09/23/2015,86.0
7-ELEVEN #34094,"Average ""7-ELEVEN #34094"" Rating: n/a",Grocery Store -- Retail,1908 Yucca Ave,76111,4,02/02/2016,100.0
7-ELEVEN #34095,"Average ""7-ELEVEN #34095"" Rating: n/a",Grocery Store -- Retail,2551 Meacham Blvd,76137,4,12/31/2015,93.0
7-ELEVEN #34097H,"Average ""7-ELEVEN #34097H"" Rating: n/a",Grocery Store -- Retail,1401 Eastchase Pkwy,76120,4,12/30/2015,91.0
7-ELEVEN #34246H,"Average ""7-ELEVEN #34246H"" Rating: n/a",Grocery Store -- Retail,6350 Camp Bowie Blvd,76116,4,08/09/2015,97.0
7-ELEVEN #34348,"Average ""7-ELEVEN #34348"" Rating: n/a",Grocery Store -- Retail,5200 N Tarrant Pkwy,76137,4,08/05/2015,100.0
7-ELEVEN #34487,"Average ""7-ELEVEN #34487"" Rating: n/a",Grocery Store -- Retail,12650 N Beach St,76244,4,01/04/2016,96.0
7-ELEVEN #34648H,"Average ""7-ELEVEN #34648H"" Rating: n/a",Grocery Store -- Retail,820 N Beach St,76103,7,02/04/2016,84.0
7-ELEVEN #35392,"Average ""7-ELEVEN #35392"" Rating: n/a",Grocery Store -- Retail,3500 Sycamore School Rd,76133,4,09/04/2015,97.0
7-ELEVEN #36461H,"Average ""7-ELEVEN #36461H"" Rating: n/a",Grocery Store -- Retail,5400 S Hulen St,76132,5,12/30/2015,85.0
7-ELEVEN #37207,"Average ""7-ELEVEN #37207"" Rating: n/a",Grocery Store -- Retail,1600 Western Center Blvd,76131,2,12/30/2015,100.0
7-ELEVEN #39309,"Average ""7-ELEVEN #39309"" Rating: n/a",Grocery Store -- Retail,9913 White Settlement Rd,76108,4,09/09/2015,97.0
7-ELEVEN 36320H,"Average ""7-ELEVEN 36320H"" Rating: n/a",Grocery Store -- Retail,1400 Eastchase Pkwy,76120,4,09/06/2015,97.0
7-ELEVEN CONVENIENCE STORE #35645,"Average ""7-ELEVEN CONVENIENCE STORE #35645"" Rating: n/a",Grocery Store -- Retail,3700 Basswood Blvd,76137,6,01/18/2016,97.0
7-ELEVEN STORE #35418,"Average ""7-ELEVEN STORE #35418"" Rating: n/a",Snack Bar,101 Sycamore School Rd,76134,3,11/04/2015,91.0
7TH STREET DELI,"Average ""7TH STREET DELI"" Rating: n/a",Restaurant,1600 W 7th St,76102,4,10/09/2015,92.0
81 CLUB (BILLY BOBS WEST),"Average ""81 CLUB (BILLY BOBS WEST)"" Rating: n/a",Lounge,2525 Rodeo Plaza,76164,4,08/25/2015,94.0
99 CENTS ONLY #2882,"Average ""99 CENTS ONLY #2882"" Rating: n/a",Grocery Store -- Retail,455 Sherry Ln,76114,2,08/12/2015,100.0
99 CENTS ONLY STORES #2823,"Average ""99 CENTS ONLY STORES #2823"" Rating: n/a",Grocery Store -- Retail,6732 Camp Bowie Blvd,76116,2,08/09/2015,97.0
A & H DONUTS,"Average ""A & H DONUTS"" Rating: n/a",Bakery -- Retail,3412 W 7th St,76107,2,08/27/2015,90.0
A & K FOOD STORE,"Average ""A & K FOOD STORE"" Rating: n/a",Restaurant,5300 Brentwood Stair Rd,76112,9,02/03/2016,89.0
A & K FOOD STORE,"Average ""A & K FOOD STORE"" Rating: n/a",Grocery Store -- Retail,1200 E Berry St,76110,2,09/23/2015,97.0
A A FOOD MART,"Average ""A A FOOD MART"" Rating: n/a",Grocery Store -- Retail,702 W Allen Ave,76110,6,11/12/2015,96.0
A GREAT NOTION,"Average ""A GREAT NOTION"" Rating: n/a",Snack Bar,2024 Ridgmar Blvd,76116,5,11/23/2015,93.0
A-1 FOOD MART,"Average ""A-1 FOOD MART"" Rating: n/a",Grocery Store -- Retail,1801 E Lancaster Ave,76103,8,01/14/2016,100.0
A-1 MART,"Average ""A-1 MART"" Rating: n/a",Grocery Store -- Retail,6800 Camp Bowie West Blvd,76116,2,08/20/2015,100.0
A-C SHORT STOP,"Average ""A-C SHORT STOP"" Rating: n/a",Grocery Store -- Retail,3601 E Rosedale St,76105,2,02/16/2015,97.0
AA TRAINING & CONFERENCE CTR,"Average ""AA TRAINING & CONFERENCE CTR"" Rating: n/a",Restaurant,4501 Hwy 360,76155,10,12/03/2015,100.0
AARDVARK THE,"Average ""AARDVARK THE"" Rating: n/a",Restaurant,2905 W Berry St,76109,5,02/11/2015,94.0
ABBEY PUB,"Average ""ABBEY PUB"" Rating: n/a",Lounge,2710 W 7th St,76107,2,03/07/2015,94.0
ABC #5 CONVENIENCE STORE,"Average ""ABC #5 CONVENIENCE STORE"" Rating: n/a",Grocery Store -- Retail,1508 Miller Ave,76105,2,09/22/2015,85.0
ABC MART,"Average ""ABC MART"" Rating: n/a",Grocery Store -- Retail,3301 Mansfield Hwy,76119,1,12/18/2014,97.0
ABUELOS,"Average ""ABUELOS"" Rating: n/a",Restaurant,4740 S Hulen St,76132,9,02/02/2016,71.0
